snapshot_date,name,views,uniques
2026-08-15,/Isualc/dayz-ai-survivor,63,21
2026-08-15,/Isualc/dayz-ai-survivor/blob/main/mod/IsuVoice/scripts/4_World/IsuVoice/IsuVoiceReceiver.c,3,2
2026-08-15,/Isualc/dayz-ai-survivor/blob/main/mod/IsuSurvivor/scripts/4_World/IsuSurvivor/IsuArenaControl.c,2,2
2026-08-15,/Isualc/dayz-ai-survivor/releases,2,2
2026-08-15,/Isualc/dayz-ai-survivor/tree/main/mod,2,2
2026-08-15,/Isualc/dayz-ai-survivor/blob/main/README.de.md,1,1
2026-08-15,/Isualc/dayz-ai-survivor/blob/main/docs/images/arena_menu.jpg,1,1
2026-08-15,/Isualc/dayz-ai-survivor/blob/main/mod/IsuVoice/scripts/5_Mission/IsuVoice/IsuArenaMenu.c,1,1
2026-08-15,/Isualc/dayz-ai-survivor/blob/main/mod/IsuVoice/scripts/5_Mission/IsuVoice/IsuNameplateHud.c,1,1
2026-08-15,/Isualc/dayz-ai-survivor/blob/main/mod/IsuVoice/scripts/5_Mission/IsuVoice/IsuRadialMenu.c,1,1
